********************************************************************************
LOGGING TIME: 20160410_075758
CLIENT IP: 192.168.56.1
USERNAME: Arvind
OS: Windows 8
ARCHITECTURE: amd64
VERSION: 6.2
RESOLUTION: 1366.0 768.0
********************************************************************************
MR, 1, 1460288880749
MC, 1, 0
MM, 465.849, 447.838, 12
MM, 474.572, 438.004, 12
MM, 483.295, 428.170, 13
MM, 491.145, 419.319, 12
MM, 495.507, 414.402, 13
MM, 498.996, 410.468, 12
MM, 501.613, 407.518, 12
MM, 505.991, 401.728, 12
MM, 505.991, 401.728, 293
MM, 506.863, 400.745, 16
MM, 508.574, 400.523, 16
MM, 509.430, 400.412, 21
MM, 511.125, 401.062, 2
MM, 512.836, 400.839, 16
MM, 515.403, 400.506, 15
MM, 518.843, 399.189, 16
MM, 521.410, 398.856, 16
MM, 523.138, 397.761, 15
MM, 523.994, 397.650, 20
MM, 525.722, 396.556, 12
MM, 526.561, 397.317, 12
MM, 527.433, 396.333, 13
MM, 528.289, 396.222, 12
MM, 529.144, 396.111, 13
MM, 529.144, 396.111, 12
MM, 530.017, 395.128, 12
MM, 530.017, 395.128, 303
MM, 530.000, 396.000, 230
MP, 1, 361
MR, 1, 131
MC, 1, 0
MM, 530.000, 397.000, 0
MM, 528.298, 399.439, 16
MM, 524.044, 405.536, 15
MM, 514.876, 418.179, 18
MM, 480.073, 464.913, 15
MM, 455.823, 497.101, 24
MM, 432.644, 527.921, 11
MM, 403.798, 566.119, 14
MM, 383.953, 593.070, 11
MM, 370.627, 611.423, 13
MM, 362.846, 622.162, 12
MM, 355.915, 631.680, 13
MM, 351.537, 637.541, 12
MM, 348.545, 641.497, 13
MM, 347.475, 642.866, 12
MM, 345.869, 644.919, 12
MM, 346.405, 644.235, 1273
MM, 350.247, 639.058, 13
MM, 355.695, 631.829, 12
MM, 361.144, 624.600, 12
MM, 368.829, 614.248, 13
MM, 383.252, 595.149, 12
MM, 398.746, 574.682, 13
MM, 409.643, 560.224, 12
MM, 428.348, 535.651, 11
MM, 443.210, 516.254, 13
MM, 452.624, 504.086, 12
MM, 459.582, 495.190, 12
MM, 467.610, 484.925, 13
MM, 474.032, 476.714, 12
MM, 478.849, 470.555, 13
MM, 482.911, 465.230, 13
MM, 484.832, 462.642, 12
MM, 486.754, 460.054, 13
MM, 488.456, 457.615, 12
MM, 490.377, 455.027, 11
MM, 491.763, 453.123, 14
MM, 492.614, 451.904, 11
MM, 494.000, 450.000, 12
MP, 1, 273
MR, 1, 123
MC, 1, 0
MM, 494.974, 449.704, 0
MM, 495.549, 449.119, 12
MM, 493.898, 446.926, 12
MM, 494.476, 440.899, 12
MM, 498.013, 431.287, 13
MM, 503.867, 419.904, 13
MM, 510.351, 408.976, 12
MM, 519.532, 396.384, 13
MM, 526.875, 385.188, 12
MM, 536.122, 371.088, 12
MM, 544.575, 356.415, 13
MM, 549.689, 345.497, 12
MM, 554.552, 336.399, 12
MM, 555.552, 331.677, 13
MM, 558.394, 327.285, 11
MM, 560.613, 323.720, 13
MM, 562.420, 321.303, 12
MM, 562.540, 320.667, 12
